Channel,Date,DCM Campaign Name,Market,GEP,KPI,Site,Ad Type,DCM Placement ID,Placement Name,Publisher Impressions,Publisher Clicks,Net Media Cost,Currency,Lead Form Ad Leads
Social,09/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,8009,38,134.53,EUR,
Social,10/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,20102,44,145.47,EUR,
Social,11/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,20832,53,199.72,EUR,
Social,12/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,11509,30,111.2,EUR,
Social,13/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,13274,31,110.62,EUR,
Social,14/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,10568,39,124.78,EUR,
Social,15/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Canvas Ad,224009494,Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,9575,39,116.09,EUR,
Social,09/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Link Ad,224010415,Facebook»DEV-ITP-AZR-FB|LinkAd|CustomerAudienceRetargeting»1x1»TextLink»LIA»DT»CPM»RT»W»NA»SS»NA»39684019-11000,7439,37,90.74,EUR,
Social,10/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Link Ad,224010415,Facebook»DEV-ITP-AZR-FB|LinkAd|CustomerAudienceRetargeting»1x1»TextLink»LIA»DT»CPM»RT»W»NA»SS»NA»39684019-11000,6890,51,79.15,EUR,
Social,11/09/2018,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,Germany,AZR,Trial,Facebook,Link Ad,224010415,Facebook»DEV-ITP-AZR-FB|LinkAd|CustomerAudienceRetargeting»1x1»TextLink»LIA»DT»CPM»RT»W»NA»SS»NA»39684019-11000,6117,34,72.23,EUR,
