Placement Name,Placement ID,Campaign Name,Campaign ID,Campaign External ID,Publisher,Site ID,Creative Name,Creative ID
Facebook»AZP-Canvas-Interest&Role-Trial»1x1»Canvas»OTH»MO»CPM»PRO»X»UNK»TP»OT»Canvas-Trial,223298805,JPN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21276694,720195,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-BuyNowCTA-Img3_JPN_1080x162_SOC_Plat_Japanese_NA_Standard_NA_BN_T3_1,102630373
Facebook»AZP-Canvas-Interest&Role-Trial»1x1»Canvas»OTH»MO»CPM»PRO»X»UNK»TP»OT»Canvas-Trial,223298805,JPN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21276694,720195,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-StartFreeCTA-Img2_JPN_1080x143 _SOC_Plat_Japanese_NA_Standard_NA_NA_T2_1,102609621
Facebook»AZP-Canvas-Look a Like-Trial»1x1»Canvas»OTH»MO»CPM»PRO»X»UNK»TP»OT»Canvas-Trial,223297413,JPN_gaPMG_AZR_AZR_Q1_19_Trial-Social,21276694,720195,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-StartFreeCTA-Img2_JPN_1080x143 _SOC_Plat_Japanese_NA_Standard_NA_NA_T2_1,102609621
Facebook»Audience & Interest Targeting»1x1»Canvas»OTH»DT»DYN»AUT»W»NA»SS»NA»FBCTCcanvaspage-StartFreeCTA_FBCTCcanvaspage-BuyNowCTA,224639151,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-BuyNowCTA-Img3_AUS_1080x162_SOC_Plat_English_NA_Standard_NA_BN_T3_1,103316832
Facebook»Audience & Interest Targeting»1x1»Canvas»OTH»DT»DYN»AUT»W»NA»SS»NA»FBCTCcanvaspage-StartFreeCTA_FBCTCcanvaspage-BuyNowCTA,224639151,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-StartFreeCTA-Img2_AUS_1080x143 _SOC_Plat_English_NA_Standard_NA_NA_T2_1,103316829
Facebook»Audience & Interest Targeting»1x1»TextLink»OTH»DT»DYN»AUT»W»NA»SS»NA»Free Account Refresh- 12 months ChE,224160783,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FreeAcctAppsFACEBOOK12monthsChE_AUS_1200x628_SOC_PLAT_EN_Trial_Standard_NA_SNU_T5_1,103051614
Facebook»Audience & Interest Targeting»1x1»TextLink»OTH»DT»DYN»AUT»W»NA»SS»NA»Free Account Refresh- 200 Credit ChD,224160780,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FreeAcctAppsFACEBOOK200CreditChD_AUS_1200x628_SOC_PLAT_EN_Trial_Standard_NA_SNU_T4_1,103186904
Facebook»Audience & Interest Targeting»1x1»TextLink»OTH»DT»DYN»AUT»W»NA»SS»NA»Free Account Refresh- Device ChB,224160777,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FreeAcctAppsFACEBOOKDeviceChB_AUS_1200x628_SOC_PLAT_EN_Trial_Standard_NA_SNU_T2_1,103048479
Facebook»Audience & Interest Targeting»1x1»TextLink»OTH»DT»DYN»AUT»W»NA»SS»NA»Free Account Refresh- Illustration ChC,224160774,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FreeAcctAppsFACEBOOKIllustrationChC_AUS_1200x628_SOC_PLAT_EN_Trial_Standard_NA_SNU_T3_1,103186910
Facebook»Audience & Interest Targeting»1x1»TextLink»OTH»DT»DYN»AUT»W»NA»SS»NA»Free Account Refresh- Lifestyle ChA,224160771,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FreeAcctAppsFACEBOOKLifestyleChA_AUS_1200x628_SOC_PLAT_EN_Trial_Standard_NA_SNU_T1_1,103048488
Facebook»LAL»1x1»Canvas»OTH»DT»DYN»LAL»W»NA»SS»NA»FBCTCcanvaspage-StartFreeCTA_FBCTCcanvaspage-BuyNowCTA,224493001,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-BuyNowCTA-Img3_AUS_1080x162_SOC_Plat_English_NA_Standard_NA_BN_T3_1,103316832
Facebook»LAL»1x1»Canvas»OTH»DT»DYN»LAL»W»NA»SS»NA»FBCTCcanvaspage-StartFreeCTA_FBCTCcanvaspage-BuyNowCTA,224493001,AUS_gaPMG_AZR_AZR_Q1_19_Trial-Social,21358568,720191,Facebook,3654128,AzurePlatform_FBCTCcanvaspage-StartFreeCTA-Img2_AUS_1080x143 _SOC_Plat_English_NA_Standard_NA_NA_T2_1,103316829
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBasicMotion-BuyNow_DEU_10s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T1_1,103235787
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBasicMotion-StartFreeCT_DEU_10s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T1_1,103236186
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBenefit2inMotion-BuyNow_DEU_14s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T4_1,103236189
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBenefit2inMotion-StartFreeCT_DEU_14s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T4_1,103237290
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBrandinMotion-BuyNow_DEU_12s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T2_1,103350059
Facebook»DEV-ITP-AZR-FB|CanvasAds|Interesttargeting»1x1»TextLink»CAN»DT»CPM»AUT»W»NA»SS»NA»39684020-11000,224009494,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FBCTCBrandinMotion-StartFreeCT_DEU_12s_ISV_PLAT_DE_Trial_Standard_STAN_TN_T2_1,103237293
Facebook»DEV-ITP-AZR-FB|LinkAd|CustomerAudienceRetargeting»1x1»TextLink»LIA»DT»CPM»RT»W»NA»SS»NA»39684019-11000,224010415,DEU_gaPMG_AZR_AZR_Q1_19_Trial-Social- 39684,21359477,720194,Facebook,3654128,AzurePlatform_FreeAcctRetargetingFB-Animated-ChC_DEU_1200x628_SOC_Plat_DE_Free Account_Standard_ANI_SNU_T3_1,103048548
