Created_Time,Message,Emotion_Prediction,Sentiment,Sentiment_Type
2018-08-25T07:37:04+0000,"indulge your home in our new midsummer collection . now available in store and online url for late update on khaadi home , follow u on facebook : khaadi home instagram : khaadihome website : url khaadihome khaadi ",neutral,0.0,Neutral
2018-09-03T20:38:57+0000,stylish denim shirt 100 dhs small nd medium size ,neutral,0.0,Neutral
2018-08-29T20:57:06+0000,large size lawn dress on sale price chk caption ,neutral,0.0,Neutral
2018-08-29T20:53:33+0000,brand winter stuff dress on sale price ..chk caption for reduce price ,neutral,0.0,Neutral
2018-09-04T12:00:51+0000,salitex collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-09-03T10:40:00+0000,safeera chifone collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-08-28T16:06:40+0000,jazmín embroider chiffon by baroque for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-08-26T08:58:23+0000,annaya chifone collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-08-26T07:34:45+0000,allure .. fabric kurrandi.. for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-08-25T16:33:20+0000,ready to wear for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.5106,Positive
2018-08-08T14:57:58+0000,ramsha chifone collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-30T14:55:31+0000,areeba saleem black and white series . only chiffon shirt price:3250 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-27T18:44:48+0000,baroque swiss eid lawn collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-22T17:52:03+0000,maria.b chifone collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-22T15:34:50+0000,mayanaz emberiodered lawn collection available in store now price:4500 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-22T15:23:30+0000,serene fervour fiesta embroider chiffon with pure dubatta . pre book start fabric : chiffon dubatta : pure chiffon price:15000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.7845,Positive
2018-07-16T22:58:18+0000,for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-15T09:48:25+0000,panache embroider swiss lawn eid collection in store price : 6500 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-07-15T09:04:36+0000,eshaeman emberiodered lawn collection available in store now price : 5500 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-06-02T13:39:26+0000,eshaeman festive eid lawn with chiffon dupatta collection 2018 in store now ! ! ! fabric : lawn dupatta : chiffon price : 5000 ,neutral,0.5962,Positive
2018-05-29T00:23:35+0000,johra festive embroider swiss voil collection 2018 in store now ! ! ! embroider swiss voil shirt embroider crinkle chiffon dupatta embroider trouser price : 7000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.6884,Positive
2018-05-28T14:54:49+0000,gulmor yashal lawn with chiffon dupatta collection 2018 in store now ! ! ! fabric : lawn dupatta : chiffon price : 6500 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.3971,Positive
2018-05-27T18:00:53+0000,maria.b lawn eid collection for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.2023,Positive
2018-05-27T15:54:43+0000,malhar digital lawn with lawn dupatta collection 2018 in store now ! ! ! fabric : lawn dupatta : lawn price : 5000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.3971,Positive
2018-05-27T15:24:21+0000,malhar festive lawn with chiffon dupatta collection 2018 come soon ! ! ! fabric : lawn dupatta : chiffon price : 5000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.6884,Positive
2018-05-24T00:46:16+0000,ramsha vol 11 chiffon with chiffon dupatta collection 2018 in store now ! ! ! fabric : chiffon dupatta : chiffon price : 8000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.3971,Positive
2018-05-23T21:24:54+0000,roupas eid collection lawn with chiffon dupatta collection 2018 in store now ! ! ! fabric : lawn dupatta : chiffon price : 6000 for price and detail send u private message on the top right side of the page whats app or viber 00923108546043 ,neutral,0.3971,Positive
2018-06-28T18:11:03+0000,clothe be n't wear by accident they?re wear by khaadi the designer collection ? ? jodhpur exhibition khaadi ,worry,0.443,Positive
2017-07-24T03:16:32+0000,we will be there too ? ? ,neutral,0.0,Neutral
2017-03-05T10:54:59+0000,we be come ? bareilly ? ? ,neutral,0.0,Neutral
2016-11-23T06:44:03+0000,hand brush paint khaadi silk suit ? ,neutral,0.4939,Positive
2018-07-12T10:52:21+0000,url ,neutral,0.0,Neutral
