Location,Negative Tweets,Neutral Tweets,Positive Tweets
"b'""the blue lag of Chicago""'",0,1,0
b'#HumanZoo',0,1,0
b'#RIDEMCOWBOYS??',1,0,0
b'#Resist',0,1,0
b'#ThorntonHeath',1,0,0
b'07036',0,1,0
"b'1 Civic Center Circle, Brea CA'",0,0,1
b'18073',1,0,0
b'1k+ anime accounts blocked',0,1,0
"b'2 Cover Up Road, Strangetown'",1,0,0
"b'207 Fletcher St, Ann Arbor, MI'",0,0,1
"b'213 SW Broadway, Portland, OR'",0,0,1
b'2207 S. St. Francis',1,0,0
b'2nd Generation Immigrant',1,0,0
b'310 // 408',0,0,1
b'336 NC',0,0,1
"b'36-10 Broadway, Fair Lawn NJ'",0,0,1
"b""38 37' 38 N / 90 11' 52 W""",1,0,0
b'518',0,0,1
b'664 King St Midland Ontario',0,0,1
b'757',0,0,1
b'937',1,0,0
b'? + ? ?',0,0,1
b'? Northern VA ?',1,0,0
b'? | ? ? ? ? ? ? ? ? ?',0,0,1
b'??',0,1,1
b'?? S U B S C R I B E ??',0,0,1
b'???',1,0,0
b'??? ???^5?',1,0,0
b'??Catfish ??',0,1,0
b'?Black Excellence?',0,0,2
"b""@ndawg_4's computer""",0,1,0
b'A very large bath tub.',0,1,0
b'ATL',0,1,0
"b'ATL, HOE'",0,1,0
b'Alabama (Originally NJ)',0,0,1
"b'Alabama, USA'",0,0,1
"b'Albertville, MN'",0,0,1
"b'Alpena/Marquette, MI'",0,0,1
"b'Anchorage, Alaska'",0,1,0
"b'Ann Arbor, Michigan'",0,0,1
"b'Antelope, Ca.'",0,1,0
"b'Apollo Beach, FL'",1,0,0
"b'Apollo, PA'",0,0,1
"b'Appleby-in-Westmorland, England'",0,0,1
b'Arkansas',0,0,1
"b'Arlen, Texas'",0,0,1
"b'Arlington, TX'",0,1,0
"b'Asheville, NC'",1,0,0
"b'Aspen, CO'",0,0,1
b'At the 100th Meridian',0,0,1
"b'Atlanta, GA'",0,0,1
b'Auburn NY',0,0,1
"b'Auckland, NZ'",0,0,1
"b'Austin & San Antonio, TX'",0,0,1
b'Austin TX',0,0,1
"b'Austin, TX'",0,1,0
"b'Austin,Texas'",0,0,1
b'Australia',1,1,1
"b'Ayr, Scotland'",0,0,1
b'Backwards Down The Faulty Plan',0,0,1
b'Baile Atha Cliath',0,1,0
"b'Baltimore, MD'",0,1,0
"b'Baltimore, Maryland'",1,0,0
"b'Baltimore, Maryland USA'",0,1,0
"b'Bartlett, Tennessee'",0,0,1
b'Baton Rouge',1,0,1
"b'Bayside, TX'",0,1,0
"b'Beckenham,Kent'",0,0,1
b'Before the Common Era',0,0,1
"b'Berkeley, CA'",0,1,0
"b'Berlin, Germany'",0,1,0
"b'Bethlehem, PA'",0,1,0
b'Beverly Hills/Washington DC',0,1,0
b'Beyond Space and Time',0,1,0
b'Big Room Fulla Bad Bitches ??',0,1,0
b'Binghamton NY',1,0,0
b'Birmingham',1,0,0
"b'Black Forest, CO'",0,0,1
"b'Bletchingley, South East'",0,0,1
b'Blipz N Chitz',0,0,1
"b'Bloomington, IL'",0,1,0
"b'Boerne, TX'",0,0,1
b'Bognor Regis South Coast',0,1,0
b'Bombay',1,0,0
b'Bostic NC',1,0,0
b'Boston',0,0,1
b'Boston area',0,0,1
"b'Boston, MA'",0,1,0
"b'Boston, MA / San Francisco, CA'",0,0,1
"b'Boulder, CO'",0,1,0
"b'Boulder, CO or New Zealand'",0,0,1
"b'Bourbonnais, IL'",0,0,1
"b'Bozeman, MT'",0,0,1
b'Bradford',0,0,2
"b'Brantford, Ontario'",1,0,0
"b'Bristol, RI'",1,0,0
b'British Columbia',0,0,3
"b'British Columbia, Canada'",1,0,0
"b'Bronx, NY'",0,1,1
"b'Bronxville, NY'",0,0,1
"b'Brookhaven, NY'",1,0,0
"b'Brooklyn, NY'",0,0,1
"b'Bryan, Ohio'",0,1,0
"b'Burlington, VT'",2,10,0
b'Buxton',0,1,0
"b'By the Sea, NY'",0,1,0
b'C:\\',0,1,0
"b'CANADA, Montreal'",0,0,1
